, sample_no, plate_id, Eta.V_ave, Ni.PM.Loading, Fe.PM.Loading, Co.PM.Loading, Mn.PM.Loading, Ce.PM.Loading, La.PM.Loading
0, 2, 3496, 0.396193, 0.1, 0.2, 0.6, 0.1, 0, 0
1, 3, 3496, 0.379979, 0, 0.3, 0.5, 0, 0.2, 0
2, 4, 3496, 0.414406, 0.2, 0, 0.4, 0.3, 0, 0.1
3, 5, 3496, 0.410658, 0.1, 0, 0.4, 0, 0.1, 0.4
4, 6, 3496, 0.374932, 0.2, 0.1, 0, 0.5, 0, 0.2
5, 7, 3496, 0.413723, 0, 0.1, 0, 0.2, 0.6, 0.1
6, 8, 3496, 0.410222, 0.4, 0, 0.2, 0, 0.1, 0.3
7, 9, 3496, 0.430223, 0, 0, 0.1, 0.1, 0.1, 0.7
8, 10, 3496, 0.372513, 0.2, 0.1, 0, 0.6, 0.1, 0
9, 11, 3496, 0.405706, 0.4, 0, 0.2, 0.1, 0, 0.3
10, 12, 3496, 0.387473, 0, 0.6, 0, 0.1, 0.3, 0
11, 13, 3496, 0.346824, 0.3, 0.4, 0.1, 0.2, 0, 0
12, 14, 3496, 0.439122, 0.1, 0.3, 0.2, 0, 0, 0.4
13, 15, 3496, 0.411905, 0.1, 0.1, 0, 0.3, 0.5, 0
14, 16, 3496, 0.384291, 0, 0, 0.2, 0, 0.7, 0.1
15, 17, 3496, 0.387014, 0.1, 0.6, 0.2, 0.1, 0, 0
16, 18, 3496, 0.386874, 0, 0.3, 0.4, 0, 0.2, 0.1
17, 19, 3496, 0.415453, 0.2, 0, 0.1, 0.1, 0, 0.6
18, 20, 3496, 0.362771, 0.4, 0.2, 0.2, 0.2, 0, 0
19, 21, 3496, 0.358023, 0.4, 0.2, 0.2, 0, 0.2, 0
20, 22, 3496, 0.380069, 0.2, 0.8, 0, 0, 0, 0
21, 23, 3496, 0.483368, 0.2, 0, 0, 0, 0.6, 0.2
22, 24, 3496, 0.443222, 0, 0.2, 0, 0.4, 0.2, 0.2
23, 25, 3496, 0.40944, 0, 0, 0.4, 0.2, 0.2, 0.2
24, 26, 3496, 0.398378, 0, 0, 0.8, 0, 0.2, 0
25, 27, 3496, 0.3752, 0.2, 0.6, 0.2, 0, 0, 0
26, 28, 3496, 0.391928, 0, 0, 0.6, 0.2, 0.2, 0
27, 29, 3496, 0.383072, 0, 0.2, 0.6, 0, 0, 0.2
28, 30, 3496, 0.373778, 1, 0, 0, 0, 0, 0
29, 31, 3496, 0.382962, 0.2, 0.2, 0.4, 0.2, 0, 0
30, 32, 3496, 0.473114, 0, 0, 0.2, 0.2, 0.2, 0.4
31, 33, 3496, 0.38187, 0, 0.6, 0.2, 0, 0.2, 0
32, 34, 3496, 0.425782, 0, 0.2, 0.2, 0, 0.6, 0
33, 35, 3496, 0.388341, 0.2, 0, 0, 0, 0.8, 0
34, 36, 3496, 0.358703, 0.2, 0.4, 0.2, 0.2, 0, 0
35, 37, 3496, 0.458919, 0, 0, 0, 0.2, 0.6, 0.2
36, 38, 3496, 0.371002, 0.4, 0.2, 0, 0, 0.2, 0.2
37, 39, 3496, 0.366732, 0.2, 0.4, 0.2, 0, 0.2, 0
38, 40, 3496, 0.409259, 0.8, 0, 0, 0, 0.2, 0
39, 41, 3496, 0.515212, 0, 0, 0.2, 0, 0, 0.8
40, 42, 3496, 0.414482, 0, 0.2, 0.2, 0.2, 0, 0.4
41, 43, 3496, 0.41232, 0, 0.2, 0, 0, 0.6, 0.2
42, 44, 3496, 0.426813, 0, 0.2, 0, 0, 0.8, 0
43, 45, 3496, 0.395565, 0, 0.2, 0.6, 0.2, 0, 0
44, 46, 3496, 0.447543, 0, 0, 0.1, 0.4, 0.5, 0
45, 47, 3496, 0.403256, 0.3, 0.1, 0, 0, 0, 0.6
46, 48, 3496, 0.444285, 0.1, 0.1, 0, 0, 0.4, 0.4
47, 49, 3496, 0.377083, 0.4, 0.1, 0.5, 0, 0, 0
48, 50, 3496, 0.402966, 0, 0, 0.3, 0.1, 0.5, 0.1
49, 51, 3496, 0.472105, 0.1, 0, 0, 0.2, 0.7, 0
50, 52, 3496, 0.362405, 0.2, 0.4, 0, 0, 0.3, 0.1
51, 53, 3496, 0.372585, 0, 0.1, 0.2, 0, 0.6, 0.1
52, 54, 3496, 0.362619, 0.3, 0.3, 0.3, 0.1, 0, 0
53, 55, 3496, 0.409393, 0, 0.4, 0.1, 0.4, 0.1, 0
54, 56, 3496, 0.387103, 0.2, 0.2, 0.1, 0.5, 0, 0
55, 57, 3496, 0.356117, 0.4, 0.4, 0.1, 0.1, 0, 0
56, 58, 3496, 0.499627, 0, 0.3, 0, 0.7, 0, 0
57, 59, 3496, 0.39082, 0.2, 0, 0.1, 0.6, 0, 0.1
58, 60, 3496, 0.365889, 0.3, 0.3, 0.4, 0, 0, 0
59, 61, 3496, 0.410801, 0, 0.2, 0, 0.1, 0.4, 0.3
60, 62, 3496, 0.374374, 0.1, 0.4, 0.3, 0, 0.2, 0
61, 63, 3496, 0.414927, 0.5, 0, 0, 0.1, 0.4, 0
62, 64, 3496, 0.42078, 0.1, 0, 0.1, 0.4, 0.4, 0
63, 66, 3496, 0.385932, 0.1, 0.3, 0.5, 0.1, 0, 0
64, 67, 3496, 0.370044, 0.6, 0.1, 0.1, 0, 0.2, 0
65, 68, 3496, 0.454084, 0, 0.3, 0, 0.1, 0.6, 0
66, 69, 3496, 0.391702, 0.4, 0.1, 0, 0.1, 0.4, 0
67, 70, 3496, 0.371772, 0.6, 0, 0.1, 0, 0.3, 0
68, 71, 3496, 0.355289, 0.3, 0.5, 0, 0.1, 0.1, 0
69, 72, 3496, 0.361677, 0.4, 0.2, 0.4, 0, 0, 0
70, 73, 3496, 0.362219, 0.5, 0.1, 0.3, 0, 0.1, 0
71, 74, 3496, 0.466579, 0.1, 0.1, 0.3, 0, 0, 0.5
72, 75, 3496, 0.425348, 0, 0.2, 0.1, 0.1, 0.6, 0
73, 76, 3496, 0.391576, 0.1, 0.2, 0.7, 0, 0, 0
74, 77, 3496, 0.358109, 0.5, 0.2, 0, 0, 0.2, 0.1
75, 78, 3496, 0.51139, 0.1, 0, 0.1, 0.2, 0, 0.6
76, 79, 3496, 0.393827, 0.2, 0.1, 0, 0, 0.6, 0.1
77, 80, 3496, 0.396371, 0, 0.7, 0.1, 0.1, 0.1, 0
78, 81, 3496, 0.436729, 0, 0, 0.4, 0.3, 0.2, 0.1
79, 82, 3496, 0.395978, 0.1, 0.1, 0.2, 0.6, 0, 0
80, 83, 3496, 0.367456, 0.3, 0.1, 0.4, 0.2, 0, 0
81, 84, 3496, 0.377283, 0.8, 0, 0.2, 0, 0, 0
82, 85, 3496, 0.393327, 0.2, 0.4, 0, 0.2, 0, 0.2
83, 86, 3496, 0.389135, 0.4, 0.2, 0.2, 0, 0, 0.2
84, 87, 3496, 0.428827, 0, 0, 0, 0.8, 0.2, 0
85, 88, 3496, 0.415023, 0.4, 0, 0, 0.2, 0.2, 0.2
86, 89, 3496, 0.389469, 0.2, 0.2, 0, 0.4, 0, 0.2
87, 90, 3496, 0.432452, 0, 0.2, 0.2, 0.4, 0, 0.2
88, 91, 3496, 0.418556, 0.2, 0, 0, 0.4, 0.2, 0.2
89, 92, 3496, 0.362666, 0.6, 0.2, 0, 0.2, 0, 0
90, 93, 3496, 0.36197, 0.6, 0.2, 0, 0, 0.2, 0
91, 94, 3496, 0.45579, 0, 0, 0.2, 0.2, 0.4, 0.2
92, 95, 3496, 0.427605, 0, 0, 0.2, 0, 0.2, 0.6
93, 96, 3496, 0.432992, 0, 0.2, 0, 0.6, 0, 0.2
94, 97, 3496, 0.406157, 0.2, 0.2, 0, 0, 0.6, 0
95, 98, 3496, 0.41096, 0, 0.2, 0, 0.6, 0.2, 0
96, 99, 3496, 0.369415, 0.2, 0.6, 0, 0, 0.2, 0
97, 100, 3496, 0.392278, 0.8, 0, 0, 0, 0, 0.2
98, 101, 3496, 0.389301, 0.4, 0, 0.2, 0.2, 0.2, 0
99, 102, 3496, 0.385762, 0.2, 0, 0.6, 0.2, 0, 0
100, 103, 3496, 0.411322, 0.4, 0, 0.2, 0, 0.2, 0.2
101, 104, 3496, 0.536287, 0, 0, 0, 0.2, 0.8, 0
102, 105, 3496, 0.556696, 0, 0, 0, 0, 0.8, 0.2
103, 106, 3496, 0.368582, 0, 0.2, 0.4, 0, 0.2, 0.2
104, 107, 3496, 0.405806, 0.2, 0.2, 0.2, 0, 0, 0.4
105, 108, 3496, 0.398954, 0.2, 0, 0.4, 0.2, 0.2, 0
106, 109, 3496, 0.421284, 0.4, 0, 0.2, 0.2, 0, 0.2
107, 110, 3496, 0.389334, 0.1, 0.4, 0, 0.5, 0, 0
108, 111, 3496, 0.37058, 0.2, 0.7, 0, 0, 0, 0.1
109, 112, 3496, 0.454059, 0, 0.4, 0.1, 0.5, 0, 0
110, 113, 3496, 0.459136, 0, 0, 0.1, 0.1, 0.4, 0.4
111, 114, 3496, 0.421692, 0, 0.3, 0.4, 0.1, 0.2, 0
112, 115, 3496, 0.438923, 0.4, 0, 0.1, 0.2, 0.3, 0
113, 116, 3496, 0.416455, 0.3, 0, 0.2, 0, 0.2, 0.3
114, 117, 3496, 0.40956, 0, 0, 0.5, 0.1, 0, 0.4
115, 118, 3496, 0.353873, 0.6, 0.3, 0, 0.1, 0, 0
116, 119, 3496, 0.392448, 0.4, 0, 0, 0, 0.6, 0
117, 120, 3496, 0.453542, 0, 0.3, 0.1, 0, 0.2, 0.4
118, 121, 3496, 0.435644, 0, 0.1, 0, 0.2, 0, 0.7
